T_sec,Sa_X_ft_s2,Sa_Y_ft_s2,Sa_SRSS_ft_s2,Sd_X_ft,Sd_Y_ft,Sd_SRSS_ft
5.000000000000000278e-02,1.304906097164136192e+01,9.823813380432726561e+00,1.633356365203818328e+01,8.263414394173356024e-04,6.221002497417996114e-04,1.034335001451233606e-03
1.000000000000000056e-01,1.670255206808187509e+01,1.021251799217537126e+01,1.957730240169701830e+01,4.230805863464580895e-03,2.586861027339698842e-03,4.958988629659809647e-03
1.499999999999999944e-01,1.860854089272000778e+01,1.142621126295104794e+01,2.183657706650981112e+01,1.060559656372820139e-02,6.512159529616563282e-03,1.244535657230194658e-02
2.000000000000000111e-01,1.861122042680243638e+01,1.304946471495277827e+01,2.273028937611278621e+01,1.885710882672077607e-02,1.322187210817937428e-02,2.303059824120603019e-02
2.500000000000000000e-01,1.796529809552167478e+01,1.233361899113794458e+01,2.179151424475851329e+01,2.844164480508894893e-02,1.952588866837050643e-02,3.449909400996557796e-02
2.999999999999999889e-01,1.657827040772682636e+01,1.292508132218507733e+01,2.102134098712088672e+01,3.779392456020652658e-02,2.946565211033843820e-02,4.792291088769623508e-02
3.499999999999999778e-01,1.747934515703125058e+01,1.482135294130424441e+01,2.291724263800817241e+01,5.423773068097823696e-02,4.599008383530983624e-02,7.111131584073772383e-02
3.999999999999999667e-01,1.701727517103357457e+01,1.571898830052729501e+01,2.316623075596869086e+01,6.896841850785949413e-02,6.370666001077938956e-02,9.388919682905107200e-02
4.499999999999999556e-01,1.742280740400298455e+01,1.564598377172472432e+01,2.341689616541984265e+01,8.936828559514471693e-02,8.025427324687282871e-02,1.201142741084467447e-01
4.999999999999999445e-01,1.791886893150594418e+01,1.559765583427497759e+01,2.375653028766998176e+01,1.134725631045059024e-01,9.877330944840974347e-02,1.504399854988605900e-01
5.499999999999999334e-01,1.777936079828391414e+01,1.548350187491831065e+01,2.357635469503616221e+01,1.362328322117768442e-01,1.186410094776903651e-01,1.806518023777442250e-01
5.999999999999999778e-01,1.685586764694780726e+01,1.482669984787802342e+01,2.244885971515007839e+01,1.537070815176604655e-01,1.352032900287003514e-01,2.047090533983819405e-01
