T_sec,Sa_5pct_ft_s2,Sa_20pct_ft_s2,Sd_5pct_in,Sd_20pct_in
5.000000000000000278e-02,1.642578091267673202e+01,1.633356365203818328e+01,1.248209673241594542e-02,1.241202001741480328e-02
1.000000000000000056e-01,2.938790094131706709e+01,1.957730240169701830e+01,8.932850724414054255e-02,5.950786355591771576e-02
1.499999999999999944e-01,3.441420503165492306e+01,2.183657706650981112e+01,2.353649391844226668e-01,1.493442788676233590e-01
2.000000000000000111e-01,3.708187130332704839e+01,2.273028937611278621e+01,4.508614910551122512e-01,2.763671788944723762e-01
2.500000000000000000e-01,4.483169226814345620e+01,2.179151424475851329e+01,8.517000234932510239e-01,4.139891281195869355e-01
2.999999999999999889e-01,3.591999513568924129e+01,2.102134098712088672e+01,9.826532343652631951e-01,5.750749306523548210e-01
3.499999999999999778e-01,3.355014455285049024e+01,2.291724263800817241e+01,1.249257581368881098e+00,8.533357900888527414e-01
3.999999999999999667e-01,3.839728798911920649e+01,2.316623075596869086e+01,1.867420160502372806e+00,1.126670361948612920e+00
4.499999999999999556e-01,4.370407511020039948e+01,2.341689616541984265e+01,2.690100286746675895e+00,1.441371289301360825e+00
4.999999999999999445e-01,4.143521771452807911e+01,2.375653028766998176e+01,3.148698977485459238e+00,1.805279825986326969e+00
5.499999999999999334e-01,4.225645825948941336e+01,2.357635469503616221e+01,3.885437988401440279e+00,2.167821628532930589e+00
5.999999999999999778e-01,3.607478992770477078e+01,2.244885971515007839e+01,3.947551648333630148e+00,2.456508640780583175e+00
6.500000000000000222e-01,3.060763796182544638e+01,2.068326698973926270e+01,3.930773670354177796e+00,2.656240295365934756e+00
6.999999999999999556e-01,3.230232588132653149e+01,1.877763817540130020e+01,4.811177542263893159e+00,2.796781613130635336e+00
7.500000000000000000e-01,2.828843038419777400e+01,1.691855320271920604e+01,4.836741609224460170e+00,2.892725723275945349e+00
7.999999999999999334e-01,3.073984092257144951e+01,1.553699275379172562e+01,5.980026369124052721e+00,3.022514872428677002e+00
8.499999999999999778e-01,3.024327020397904064e+01,1.508906633102194483e+01,6.641835427556674887e+00,3.313765166603859669e+00
9.000000000000000222e-01,2.762894353717391027e+01,1.451502712150917951e+01,6.802535346596283006e+00,3.573751740381226227e+00
9.499999999999999556e-01,2.646237452855558914e+01,1.386702582239531978e+01,7.259346588213427154e+00,3.804101044819112154e+00
1.000000000000000000e+00,2.510674785146683519e+01,1.323063961110321785e+01,7.631536229161023144e+00,4.021632197226533201e+00
1.049999999999999822e+00,2.444494985554119637e+01,1.274573894769108406e+01,8.191987070756198364e+00,4.271349676876129209e+00
1.099999999999999867e+00,2.116481500532248461e+01,1.218396688677909623e+01,7.784332111714697966e+00,4.481213025531850747e+00
1.149999999999999911e+00,1.938182211934444155e+01,1.167391868043901582e+01,7.791333485464880582e+00,4.692819537886405712e+00
1.199999999999999956e+00,2.192243238859751386e+01,1.110672452598854854e+01,9.595613367065469745e+00,4.861496773566183371e+00
1.250000000000000000e+00,2.127493118168850117e+01,1.046137021086791741e+01,1.010438066830293380e+01,4.968555057589830071e+00
1.300000000000000044e+00,1.827392272068849621e+01,9.753025153559246263e+00,9.387284882833254684e+00,5.010113426946229076e+00
1.349999999999999867e+00,1.546555836960811270e+01,9.023956740801214238e+00,8.567510606250769101e+00,4.999033545345028529e+00
1.399999999999999911e+00,1.320667962556244035e+01,8.406225876342563907e+00,7.868124500485142114e+00,5.008165083844556165e+00
1.449999999999999956e+00,1.163605546913667155e+01,8.045352527712504198e+00,7.436409494131157594e+00,5.141650972651499174e+00
1.500000000000000000e+00,1.141428187008302331e+01,7.922660256549032276e+00,7.806432709152600680e+00,5.418449874830174373e+00
1.549999999999999822e+00,1.128789721789408240e+01,7.822932366275598071e+00,8.243240143342699611e+00,5.712871837467771385e+00
1.599999999999999867e+00,1.140355463298081062e+01,7.749611144260402540e+00,8.873638296143463222e+00,6.030334263585143795e+00
1.649999999999999911e+00,1.157406144694324013e+01,7.697627958213904442e+00,9.578007691724202743e+00,6.370100947690744420e+00
1.699999999999999956e+00,1.181286069296820784e+01,7.657962203479656615e+00,1.037706254940978390e+01,6.727172600437796746e+00
1.750000000000000000e+00,1.212765254367465317e+01,7.624417157444312920e+00,1.128949076547714370e+01,7.097481295834707993e+00
1.799999999999999822e+00,1.220254745722043843e+01,7.611929323426195104e+00,1.201758008366487296e+01,7.496546975635231647e+00
1.849999999999999867e+00,1.227244175208195998e+01,7.579011379083169686e+00,1.276720834683034056e+01,7.884561140682328606e+00
1.899999999999999911e+00,1.299887958024801904e+01,7.517206907802631122e+00,1.426377999897824367e+01,8.248694426143028835e+00
1.949999999999999956e+00,1.337463945116104291e+01,7.472390555382311561e+00,1.545869452703490055e+01,8.636748931002260932e+00
1.999999999999999778e+00,1.385840374027834443e+01,7.413639872397046027e+00,1.684979844430083062e+01,9.013905203631582097e+00
2.049999999999999822e+00,1.397783485364576883e+01,7.337215058308021121e+00,1.785538160961021958e+01,9.372608575619125304e+00
2.099999999999999645e+00,1.364991759695067941e+01,7.247792986370413360e+00,1.829743143379941372e+01,9.715516176017844785e+00
2.149999999999999467e+00,1.285239538987135788e+01,7.152027275379656324e+00,1.805853465103107780e+01,1.004910979313216046e+01
2.199999999999999734e+00,1.207344355504693922e+01,7.038460804791494496e+00,1.776225199055922133e+01,1.035486801013952807e+01
2.249999999999999556e+00,1.115454168966020987e+01,6.906630862202390198e+00,1.716478138607214987e+01,1.062803046169925736e+01
2.299999999999999822e+00,1.083084428165830637e+01,6.758360698986739301e+00,1.741564218429519428e+01,1.086722222433568419e+01
2.349999999999999645e+00,1.044745561054412342e+01,6.596338334117596958e+00,1.753750340880786851e+01,1.107286887186997504e+01
2.399999999999999467e+00,1.001143877954308081e+01,6.422670230639893951e+00,1.752832789239351285e+01,1.124500406249388362e+01
2.449999999999999734e+00,9.543160254449217561e+00,6.239764092304641352e+00,1.741188920024256603e+01,1.138470675478885497e+01
2.499999999999999556e+00,9.073716519645287804e+00,6.049720441521907688e+00,1.723799433385300972e+01,1.149309067200460888e+01
2.549999999999999822e+00,8.755506558028619324e+00,5.855787268803418932e+00,1.730546000018921404e+01,1.157409816077069564e+01
