record_id,source,database,event_name,event_year,station_name,station_id,component,component_angle_deg,tectonic_region,magnitude,mechanism,rrup_km,rjb_km,rx_km,vs30_m_per_s,site_class,dt_sec,npts,duration_sec,raw_units,processed_units,pga_g,pgv_cm_s,arias_intensity,significant_duration_5_95_sec,scale_factor,raw_file,processed_file,scaled_file,download_url,citation,license_notes,usable,notes
RSN15_KERN_TAF021,PEER,NGA-West2,Kern County,1952,Taft Lincoln School,RSN15,TAF021,21,,7.36,Reverse,38.89,38.42,,385.43,C,0.01,5435,54.34,g,in/sec^2,0.1588854,15.22222,0.6,30.3,1.0,raw/RSN15_KERN_TAF021.AT2,processed/RSN15_KERN_TAF021_in_per_sec2.txt,,,PEER NGA-West2 ground motion database,User-provided PEER download; follow PEER terms of use.,True,Imported from MLEarthquakeRecords.zip; PEER result_id=1; horizontal_component=1; vertical_file=RSN15_KERN_TAF-UP.AT2
RSN15_KERN_TAF111,PEER,NGA-West2,Kern County,1952,Taft Lincoln School,RSN15,TAF111,111,,7.36,Reverse,38.89,38.42,,385.43,C,0.01,5437,54.36,g,in/sec^2,0.1802857,18.61704,0.6,30.3,1.0,raw/RSN15_KERN_TAF111.AT2,processed/RSN15_KERN_TAF111_in_per_sec2.txt,,,PEER NGA-West2 ground motion database,User-provided PEER download; follow PEER terms of use.,True,Imported from MLEarthquakeRecords.zip; PEER result_id=1; horizontal_component=2; vertical_file=RSN15_KERN_TAF-UP.AT2
RSN88_SFERN_FSD172,PEER,NGA-West2,San Fernando,1971,Santa Felita Dam (Outlet),RSN88,FSD172,172,,6.61,Reverse,24.87,24.69,,389.0,C,0.005,8000,39.995,g,in/sec^2,0.1548748,10.73804,0.2,23.6,1.0,raw/RSN88_SFERN_FSD172.AT2,processed/RSN88_SFERN_FSD172_in_per_sec2.txt,,,PEER NGA-West2 ground motion database,User-provided PEER download; follow PEER terms of use.,True,Imported from MLEarthquakeRecords.zip; PEER result_id=2; horizontal_component=1; vertical_file=RSN88_SFERN_FSD-UP.AT2
RSN88_SFERN_FSD262,PEER,NGA-West2,San Fernando,1971,Santa Felita Dam (Outlet),RSN88,FSD262,262,,6.61,Reverse,24.87,24.69,,389.0,C,0.005,8000,39.995,g,in/sec^2,0.1548368,6.704739,0.2,23.6,1.0,raw/RSN88_SFERN_FSD262.AT2,processed/RSN88_SFERN_FSD262_in_per_sec2.txt,,,PEER NGA-West2 ground motion database,User-provided PEER download; follow PEER terms of use.,True,Imported from MLEarthquakeRecords.zip; PEER result_id=2; horizontal_component=2; vertical_file=RSN88_SFERN_FSD-UP.AT2
RSN93_SFERN_WND143,PEER,NGA-West2,San Fernando,1971,Whittier Narrows Dam,RSN93,WND143,143,,6.61,Reverse,39.45,39.45,,298.68,D,0.005,8000,39.995,g,in/sec^2,0.1012071,10.12987,0.2,21.5,1.0,raw/RSN93_SFERN_WND143.AT2,processed/RSN93_SFERN_WND143_in_per_sec2.txt,,,PEER NGA-West2 ground motion database,User-provided PEER download; follow PEER terms of use.,True,Imported from MLEarthquakeRecords.zip; PEER result_id=3; horizontal_component=1; vertical_file=RSN93_SFERN_WNDDWN.AT2
RSN93_SFERN_WND233,PEER,NGA-West2,San Fernando,1971,Whittier Narrows Dam,RSN93,WND233,233,,6.61,Reverse,39.45,39.45,,298.68,D,0.005,8000,39.995,g,in/sec^2,0.1080762,10.549,0.2,21.5,1.0,raw/RSN93_SFERN_WND233.AT2,processed/RSN93_SFERN_WND233_in_per_sec2.txt,,,PEER NGA-West2 ground motion database,User-provided PEER download; follow PEER terms of use.,True,Imported from MLEarthquakeRecords.zip; PEER result_id=3; horizontal_component=2; vertical_file=RSN93_SFERN_WNDDWN.AT2
RSN167_IMPVALL.H_H-CMP015,PEER,NGA-West2,Imperial Valley-06,1979,Compuertas,RSN167,H-CMP015,15,,6.53,strike slip,15.3,13.52,,259.86,D,0.01,5703,57.02,g,in/sec^2,0.1866391,13.77289,0.4,28.7,1.0,raw/RSN167_IMPVALL.H_H-CMP015.AT2,processed/RSN167_IMPVALL.H_H-CMP015_in_per_sec2.txt,,,PEER NGA-West2 ground motion database,User-provided PEER download; follow PEER terms of use.,True,Imported from MLEarthquakeRecords.zip; PEER result_id=4; horizontal_component=1; vertical_file=RSN167_IMPVALL.H_H-CMPDWN.AT2
RSN167_IMPVALL.H_H-CMP285,PEER,NGA-West2,Imperial Valley-06,1979,Compuertas,RSN167,H-CMP285,285,,6.53,strike slip,15.3,13.52,,259.86,D,0.01,5703,57.02,g,in/sec^2,0.1470701,9.313275,0.4,28.7,1.0,raw/RSN167_IMPVALL.H_H-CMP285.AT2,processed/RSN167_IMPVALL.H_H-CMP285_in_per_sec2.txt,,,PEER NGA-West2 ground motion database,User-provided PEER download; follow PEER terms of use.,True,Imported from MLEarthquakeRecords.zip; PEER result_id=4; horizontal_component=2; vertical_file=RSN167_IMPVALL.H_H-CMPDWN.AT2
RSN290_ITALY_A-MER000,PEER,NGA-West2,Irpinia_ Italy-01,1980,Mercato San Severino,RSN290,A-MER000,0,,6.9,Normal,29.8,29.79,,428.57,C,0.0029,14712,42.661899999999996,g,in/sec^2,0.1075987,7.129829,0.5,26.7,1.0,raw/RSN290_ITALY_A-MER000.AT2,processed/RSN290_ITALY_A-MER000_in_per_sec2.txt,,,PEER NGA-West2 ground motion database,User-provided PEER download; follow PEER terms of use.,True,Imported from MLEarthquakeRecords.zip; PEER result_id=5; horizontal_component=1; vertical_file=RSN290_ITALY_A-MER-UP.AT2
RSN290_ITALY_A-MER270,PEER,NGA-West2,Irpinia_ Italy-01,1980,Mercato San Severino,RSN290,A-MER270,270,,6.9,Normal,29.8,29.79,,428.57,C,0.0029,14712,42.661899999999996,g,in/sec^2,0.1404749,11.82546,0.5,26.7,1.0,raw/RSN290_ITALY_A-MER270.AT2,processed/RSN290_ITALY_A-MER270_in_per_sec2.txt,,,PEER NGA-West2 ground motion database,User-provided PEER download; follow PEER terms of use.,True,Imported from MLEarthquakeRecords.zip; PEER result_id=5; horizontal_component=2; vertical_file=RSN290_ITALY_A-MER-UP.AT2
RSN776_LOMAP_HSP000,PEER,NGA-West2,Loma Prieta,1989,Hollister - South & Pine,RSN776,HSP000,0,,6.93,Reverse Oblique,27.93,27.67,,282.14,D,0.005,11999,59.99,g,in/sec^2,0.3699329,62.96626,2.2,28.8,1.0,raw/RSN776_LOMAP_HSP000.AT2,processed/RSN776_LOMAP_HSP000_in_per_sec2.txt,,,PEER NGA-West2 ground motion database,User-provided PEER download; follow PEER terms of use.,True,Imported from MLEarthquakeRecords.zip; PEER result_id=6; horizontal_component=1; vertical_file=RSN776_LOMAP_HSP-UP.AT2
RSN776_LOMAP_HSP090,PEER,NGA-West2,Loma Prieta,1989,Hollister - South & Pine,RSN776,HSP090,90,,6.93,Reverse Oblique,27.93,27.67,,282.14,D,0.005,11999,59.99,g,in/sec^2,0.1786514,30.88744,2.2,28.8,1.0,raw/RSN776_LOMAP_HSP090.AT2,processed/RSN776_LOMAP_HSP090_in_per_sec2.txt,,,PEER NGA-West2 ground motion database,User-provided PEER download; follow PEER terms of use.,True,Imported from MLEarthquakeRecords.zip; PEER result_id=6; horizontal_component=2; vertical_file=RSN776_LOMAP_HSP-UP.AT2
RSN800_LOMAP_SJW160,PEER,NGA-West2,Loma Prieta,1989,Salinas - John & Work,RSN800,SJW160,160,,6.93,Reverse Oblique,32.78,28.66,,279.56,D,0.005,7999,39.99,g,in/sec^2,0.09151736,11.85928,0.2,21.5,1.0,raw/RSN800_LOMAP_SJW160.AT2,processed/RSN800_LOMAP_SJW160_in_per_sec2.txt,,,PEER NGA-West2 ground motion database,User-provided PEER download; follow PEER terms of use.,True,Imported from MLEarthquakeRecords.zip; PEER result_id=7; horizontal_component=1; vertical_file=RSN800_LOMAP_SJW-UP.AT2
