sample_id	case_id	run_name	split	record_id_x	record_id_y	num_floor	num_bay_x	num_bay_y	bay_x_in	bay_y_in	story_h_in	pga_x_g	pga_y_g	duration_x_sec	duration_y_sec	scale_factor_x	scale_factor_y	peak_roof_x_in	peak_roof_y_in	peak_drift_ratio	peak_drift_percent	recovery_steps	recovery_rate
case_0001/peer_25	case_0001	peer_25	train	RSN1118_KOBE_TDO000	RSN1118_KOBE_TDO090	3	3	5	132.0	132.0	120.0	0.2960222065448761	0.1942155957221985	139.99000549316406	139.99000549316406	1.0	1.0	0.9329373836517334	0.6709668040275574	0.0040261344984173775	0.40261344984173775	1	7.142857066355646e-05
case_0002/peer_18	case_0002	peer_18	validation	RSN1008_NORTHR_W15090	RSN1008_NORTHR_W15180	3	5	4	156.0	156.0	144.0	0.09887105226516724	0.17320260405540466	39.97999954223633	39.97999954223633	1.0	1.0	0.6884272694587708	0.8503004908561707	0.003157285274937749	0.3157285274937749	0	0.0
case_0003/peer_42	case_0003	peer_42	train	RSN4880_CHUETSU_65085EW	RSN4880_CHUETSU_65085NS	6	3	2	168.0	168.0	120.0	0.12539300322532654	0.11166460067033768	59.9900016784668	59.9900016784668	1.0	1.0	1.9530389308929443	1.691943883895874	0.005108091980218887	0.5108091980218887	0	0.0
case_0004/peer_74	case_0004	peer_74	train	RSN6896_DARFIELD_DORCN20W	RSN6896_DARFIELD_DORCN70E	4	5	2	180.0	180.0	132.0	0.08280017226934433	0.08634220063686371	61.94499969482422	61.94499969482422	1.0	1.0	0.6044407486915588	0.9821719527244568	0.002721884287893772	0.2721884287893772	0	0.0
case_0005/peer_7	case_0005	peer_7	validation	RSN800_LOMAP_SJW160	RSN800_LOMAP_SJW250	5	6	5	168.0	168.0	168.0	0.0915173590183258	0.11230070143938065	39.9900016784668	39.98500061035156	1.0	1.0	1.6186819076538086	1.3347151279449463	0.003270708490163088	0.3270708490163088	0	0.0
case_0006/peer_10	case_0006	peer_10	train	RSN850_LANDERS_DSP000	RSN850_LANDERS_DSP090	7	6	2	168.0	168.0	120.0	0.1712280958890915	0.15406060218811035	49.97999954223633	49.97999954223633	1.0	1.0	2.308642864227295	3.7225983142852783	0.008311083540320396	0.8311083540320396	43	0.01720000058412552
case_0007/peer_44	case_0007	peer_44	train	RSN4883_CHUETSU_690E1EW	RSN4883_CHUETSU_690E1NS	7	4	5	168.0	168.0	132.0	0.16335639357566833	0.13359379768371582	119.98999786376953	119.98999786376953	1.0	1.0	2.01961350440979	1.9760042428970337	0.004180108662694693	0.41801086626946926	0	0.0
case_0008/peer_3	case_0008	peer_3	validation	RSN93_SFERN_WND143	RSN93_SFERN_WND233	7	6	4	180.0	180.0	168.0	0.10120709985494614	0.10807619988918304	39.994998931884766	39.994998931884766	1.0	1.0	1.2976243495941162	1.6750975847244263	0.0024927614722400904	0.24927614722400904	0	0.0
case_0009/peer_17	case_0009	peer_17	train	RSN1002_NORTHR_VRM000	RSN1002_NORTHR_VRM090	2	4	4	180.0	180.0	156.0	0.13723069429397583	0.0675073117017746	37.41999816894531	37.41999816894531	1.0	1.0	0.7554470896720886	0.3220531940460205	0.0029539696406573057	0.29539696406573057	0	0.0
case_0010/peer_41	case_0010	peer_41	train	RSN4862_CHUETSU_65035EW	RSN4862_CHUETSU_65035NS	2	5	6	156.0	156.0	144.0	0.22909219563007355	0.21550899744033813	59.9900016784668	59.9900016784668	1.0	1.0	1.1442848443984985	0.8725184202194214	0.005343887023627758	0.5343887023627758	10	0.0016666667070239782
